gene_set,n_in_universe,n_in_recurrent,frac_of_set_recurrent,expected_frac,odds_ratio,p_value,q_value
HALLMARK_BILE_ACID_METABOLISM,51,35,0.6862745098039216,0.6438388625592417,1.2114511946656787,0.5612489868579166,0.7474529486584062
HALLMARK_IL2_STAT5_SIGNALING,119,80,0.6722689075630253,0.6438388625592417,1.1367489439958622,0.5635062280327946,0.7474529486584062
HALLMARK_G2M_CHECKPOINT,122,82,0.6721311475409836,0.6438388625592417,1.1360799701046338,0.5680642409803887,0.7474529486584062
HALLMARK_XENOBIOTIC_METABOLISM,103,64,0.6213592233009708,0.6438388625592417,0.9066895860191949,0.6789608825427841,0.8541280960244675
HALLMARK_HYPOXIA,106,66,0.6226415094339622,0.6438388625592417,0.9116803278688524,0.683302476819574,0.8541280960244675
HALLMARK_COMPLEMENT,124,82,0.6612903225806451,0.6438388625592417,1.0812513346145634,0.7067315195653995,0.8618677067870726
HALLMARK_COAGULATION,52,35,0.6730769230769231,0.6438388625592417,1.1398080254513363,0.771781689208263,0.9089543255068758
HALLMARK_ANGIOGENESIS,14,10,0.7142857142857143,0.6438388625592417,1.383665191740413,0.7817007199359133,0.9089543255068758
HALLMARK_ANDROGEN_RESPONSE,74,49,0.6621621621621622,0.6438388625592417,1.0850064995357473,0.8079376791962912,0.9181109990866946
HALLMARK_CHOLESTEROL_HOMEOSTASIS,53,35,0.660377358490566,0.6438388625592417,1.0761252083719208,0.8860423269207911,0.9844914743564346
HALLMARK_FATTY_ACID_METABOLISM,84,55,0.6547619047619048,0.6438388625592417,1.0496438897115858,0.9090204744910433,0.9865724915664729
HALLMARK_TNFA_SIGNALING_VIA_NFKB,133,85,0.6390977443609023,0.6438388625592417,0.979271826509628,0.9273781420724845,0.9865724915664729
HALLMARK_PANCREAS_BETA_CELLS,9,6,0.6666666666666666,0.6438388625592417,1.106484893146647,1.0,1.0
HALLMARK_GLYCOLYSIS,99,64,0.6464646464646465,0.6438388625592417,1.0116733173716415,1.0,1.0
HALLMARK_WNT_BETA_CATENIN_SIGNALING,25,16,0.64,0.6438388625592417,0.9833887043189369,1.0,1.0
