celltype	strategy	contrast	n_tested	n_sig	frac_sig
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MONOCYTIC	fisher	Normal_vs_StageI	19084	13744	0.720184
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MONOCYTIC	nb_multi	omnibus	613	613	1.000000
CELL_TYPES_WANSLEEBEN_HOGAN_2013_NE_CELLS	fisher	Met_vs_StageI	15144	5929	0.391508
CELL_TYPES_WANSLEEBEN_HOGAN_2013_NE_CELLS	nb_multi	omnibus	76	64	0.842105
CELL_TYPES_WANSLEEBEN_HOGAN_2013_NK_CELLS	fisher	Met_vs_StageI	20420	4408	0.215867
CELL_TYPES_WANSLEEBEN_HOGAN_2013_NK_CELLS	nb_multi	omnibus	110	108	0.981818
CELL_TYPES_WANSLEEBEN_HOGAN_2013_PERICYTES	fisher	IVprimary_vs_Met	12795	4988	0.389840
CELL_TYPES_WANSLEEBEN_HOGAN_2013_PERICYTES	fisher	IVprimary_vs_StageI	17832	5829	0.326884
CELL_TYPES_WANSLEEBEN_HOGAN_2013_PERICYTES	fisher	Met_vs_StageI	19771	9415	0.476203
CELL_TYPES_WANSLEEBEN_HOGAN_2013_PERICYTES	nb_multi	omnibus	223	222	0.995516
CELL_TYPES_WANSLEEBEN_HOGAN_2013_SEROUS_CELLS	fisher	IVprimary_vs_Met	4815	1284	0.266667
CELL_TYPES_WANSLEEBEN_HOGAN_2013_SEROUS_CELLS	fisher	IVprimary_vs_Normal	16699	4539	0.271813
CELL_TYPES_WANSLEEBEN_HOGAN_2013_SEROUS_CELLS	fisher	IVprimary_vs_StageI	12800	4420	0.345313
CELL_TYPES_WANSLEEBEN_HOGAN_2013_SEROUS_CELLS	fisher	Met_vs_Normal	16435	2351	0.143048
CELL_TYPES_WANSLEEBEN_HOGAN_2013_SEROUS_CELLS	fisher	Met_vs_StageI	12218	2248	0.183991
CELL_TYPES_WANSLEEBEN_HOGAN_2013_SEROUS_CELLS	fisher	Normal_vs_StageI	17983	12180	0.677306
CELL_TYPES_WANSLEEBEN_HOGAN_2013_SEROUS_CELLS	nb_multi	omnibus	537	537	1.000000
CELL_TYPES_WANSLEEBEN_HOGAN_2013_TREG	fisher	IVprimary_vs_Met	7490	2768	0.369559
CELL_TYPES_WANSLEEBEN_HOGAN_2013_TREG	fisher	IVprimary_vs_Normal	18002	3794	0.210754
CELL_TYPES_WANSLEEBEN_HOGAN_2013_TREG	fisher	IVprimary_vs_StageI	12627	3648	0.288905
