celltype	strategy	stage	n_rows	n_units	n_cells	frac_zero_cov	mean_all	sd_all	n_cov	mean_cov	sd_cov
CELL_TYPES_WANSLEEBEN_HOGAN_2013_EXHAUSTED_REGUL	proportion	Met	5048232	8357	168	0.000000	0.278112	0.288454	5048232	0.278112	0.288454
CELL_TYPES_WANSLEEBEN_HOGAN_2013_EXHAUSTED_REGUL	proportion	StageI	22055966	8357	734	0.000000	0.278112	0.288268	22055966	0.278112	0.288268
CELL_TYPES_WANSLEEBEN_HOGAN_2013_EXHAUSTED_REGUL	shannon	Normal	1637972	8357	196	0.921236	0.597482	0.480837	129013	0.707953	0.297933
CELL_TYPES_WANSLEEBEN_HOGAN_2013_EXHAUSTED_REGUL	shannon	Met	1403976	8357	168	0.964885	0.605387	0.485192	49301	0.727643	0.314658
CELL_TYPES_WANSLEEBEN_HOGAN_2013_EXHAUSTED_REGUL	shannon	StageI	6134038	8357	734	0.974490	0.605942	0.485605	156478	0.723056	0.289893
CELL_TYPES_WANSLEEBEN_HOGAN_2013_GOBLET_CELLS	classic	IVprimary	265375	4825	55	0.958463	0.016666	0.113927	11023	0.401226	0.397719
CELL_TYPES_WANSLEEBEN_HOGAN_2013_GOBLET_CELLS	classic	Met	815425	4825	169	0.961423	0.013597	0.095875	31457	0.352465	0.344724
CELL_TYPES_WANSLEEBEN_HOGAN_2013_GOBLET_CELLS	classic	StageI	443900	4825	92	0.952971	0.017192	0.109934	20876	0.365565	0.360038
CELL_TYPES_WANSLEEBEN_HOGAN_2013_GOBLET_CELLS	proportion	IVprimary	1292390	8522	55	0.000000	0.362669	0.311693	1292390	0.362669	0.311693
CELL_TYPES_WANSLEEBEN_HOGAN_2013_GOBLET_CELLS	proportion	Met	3971162	8522	169	0.000000	0.362669	0.309793	3971162	0.362669	0.309793
CELL_TYPES_WANSLEEBEN_HOGAN_2013_GOBLET_CELLS	proportion	StageI	2161816	8522	92	0.000000	0.362669	0.310765	2161816	0.362669	0.310765
CELL_TYPES_WANSLEEBEN_HOGAN_2013_GOBLET_CELLS	shannon	IVprimary	468710	8522	55	0.947631	0.556720	0.489852	24546	0.657312	0.308025
CELL_TYPES_WANSLEEBEN_HOGAN_2013_GOBLET_CELLS	shannon	Met	1440218	8522	169	0.951883	0.561121	0.492105	69299	0.714310	0.344857
CELL_TYPES_WANSLEEBEN_HOGAN_2013_GOBLET_CELLS	shannon	StageI	784024	8522	92	0.945392	0.558777	0.490807	42814	0.669219	0.343265
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MACROPHAGE_M1	classic	Normal	1194150	4190	285	0.960745	0.015386	0.106021	46876	0.391948	0.372497
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MACROPHAGE_M1	classic	IVprimary	393860	4190	94	0.971888	0.010333	0.088334	11072	0.367576	0.382436
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MACROPHAGE_M1	classic	Met	339390	4190	81	0.994932	0.002342	0.043854	1720	0.462175	0.408612
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MACROPHAGE_M1	proportion	Normal	6404520	7378	285	0.000000	0.328320	0.309109	6404520	0.328320	0.309109
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MACROPHAGE_M1	proportion	IVprimary	2112368	7378	94	0.000000	0.328320	0.308522	2112368	0.328320	0.308522
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MACROPHAGE_M1	proportion	Met	1820232	7378	81	0.000000	0.328320	0.306945	1820232	0.328320	0.306945
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MACROPHAGE_M1	shannon	Normal	2102730	7378	285	0.947685	0.560820	0.490761	110004	0.702271	0.323767
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MACROPHAGE_M1	shannon	IVprimary	693532	7378	94	0.959017	0.562341	0.491783	28423	0.681834	0.336044
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MACROPHAGE_M1	shannon	Met	597618	7378	81	0.992562	0.566484	0.494570	4445	0.638192	0.314792
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MACROPHAGE_M2	classic	Normal	3243060	4190	774	0.937116	0.023334	0.127257	203935	0.371063	0.358467
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MACROPHAGE_M2	classic	IVprimary	1236050	4190	295	0.976252	0.008563	0.080622	29354	0.360594	0.383090
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MACROPHAGE_M2	classic	Met	1533540	4190	366	0.985255	0.005429	0.064210	22612	0.368206	0.382150
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MACROPHAGE_M2	classic	StageI	3364570	4190	803	0.973151	0.010440	0.088438	90334	0.388832	0.379706
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MACROPHAGE_M2	proportion	Normal	17393328	7378	774	0.000000	0.328320	0.310106	17393328	0.328320	0.310106
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MACROPHAGE_M2	proportion	IVprimary	6629240	7378	295	0.000000	0.328320	0.308212	6629240	0.328320	0.308212
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MACROPHAGE_M2	proportion	Met	8224752	7378	366	0.000000	0.328320	0.307485	8224752	0.328320	0.307485
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MACROPHAGE_M2	proportion	StageI	18045016	7378	803	0.000000	0.328320	0.308410	18045016	0.328320	0.308410
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MACROPHAGE_M2	shannon	Normal	5710572	7378	774	0.919075	0.558093	0.488735	462128	0.707474	0.333199
